,ambient,Group,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
0,-0.75214297,first_group,-1.1184461,0.32793520000000004,-1.2978575,-1.2224282,-0.2501821,1.0295724,-0.24586003,-2.522071,-1.8314217000000002,-2.0661428,-2.0180326,4
1,-0.77126324,first_group,-1.1170206,0.3296648,-1.2976865,-1.2224293,-0.2491333,1.029509,-0.24583231,-2.5224178,-1.8309687,-2.0648587,-2.0176313,4
2,-0.78289163,first_group,-1.1166813,0.3327715,-1.3018216999999999,-1.2224278,-0.24943107,1.0294477,-0.24581794,-2.5226731,-1.8304,-2.064073,-2.0173435,4
3,-0.78093535,first_group,-1.1167642,0.33369990000000005,-1.301852,-1.2224301000000002,-0.24863635,1.0328449,-0.24695479999999997,-2.521639,-1.8303328,-2.0631368,-2.0176322,4
4,-0.7740425999999999,first_group,-1.116775,0.33520609999999995,-1.303118,-1.2224286,-0.24870083,1.0318071,-0.24660969,-2.5219002,-1.8304977,-2.0627947,-2.0181448,4
5,-0.7629362,first_group,-1.1169548,0.33490124,-1.3030168,-1.2224286,-0.24819699999999997,1.0310309000000002,-0.24634062,-2.5222029999999998,-1.8319308999999997,-2.0625494,-2.017884,4
6,-0.74922806,second_group,-1.1161705,0.33501354,-1.3020816000000002,-1.2224296000000001,-0.24791418,1.0304929,-0.24616154,-2.5225377,-1.8330117,-2.0621152,-2.0172427,4
7,-0.7384499,second_group,-1.1139864,0.3362563,-1.3051548000000002,-1.2224321000000002,-0.24832098,1.0301074000000001,-0.24603489,-2.5228438,-1.8321822,-2.0619526,-2.0172133000000003,4
8,-0.7309097,second_group,-1.1118276000000002,0.33490529999999996,-1.3037902,-1.2224315000000001,-0.24778472,1.0298513,-0.24598087,-2.5228078,-1.8315758999999998,-2.062443,-2.0177386000000004,4
9,-0.72712964,second_group,-1.1094859,0.3359881,-1.3056333,-1.2224313999999998,-0.24829444,1.0296358,-0.24588774,-2.5226767000000003,-1.8314383,-2.0623169999999997,-2.0181801,4
